"packet","qid","output_qid","title","num_models","avg_part_accuracy","difficulty_rank","difficulty_score"
"packet2","advvqa-b-yVSP2w7uG2t93ZoZRLqz","advvqa-packet2-b-yVSP2w7uG2t93ZoZRLqz","Writing","5","0.6666666666666666","42","0.3333"
"packet2","advvqa-b-Y1HNUojkbmGvcmuLbJzy","advvqa-packet2-b-Y1HNUojkbmGvcmuLbJzy","Flags","5","0.6666666666666666","43","0.3333"
"packet2","advvqa-b-kToIbZ1PdvoDXK63Gq3C","advvqa-packet2-b-kToIbZ1PdvoDXK63Gq3C","Numerals","5","0.6666666666666666","44","0.3333"
"packet3","advvqa-b-jcKUHDw334yMauf9RAIR","advvqa-packet3-b-jcKUHDw334yMauf9RAIR","Turning Red-ferences","5","0.6666666666666666","45","0.3333"
"packet4","advvqa-b-vv1seeDRWcei0NEoFjr6","advvqa-packet4-b-vv1seeDRWcei0NEoFjr6","Country Instruments","5","0.6666666666666666","46","0.3333"
"packet4","advvqa-b-hU9AyK84Jdf1Y6c0bOKp","advvqa-packet4-b-hU9AyK84Jdf1Y6c0bOKp","painting subjects","5","0.6666666666666666","47","0.3333"
"packet4","advvqa-b-m6WOzxh1Y7LF5nFnxAfw","advvqa-packet4-b-m6WOzxh1Y7LF5nFnxAfw","Flag imagery","5","0.6666666666666666","48","0.3333"
"packet5","advvqa-b-B79Wa1zS67TPcJeWfvAN","advvqa-packet5-b-B79Wa1zS67TPcJeWfvAN","Decline of language families","5","0.6666666666666666","49","0.3333"
"packet5","advvqa-b-r8fwAdZVV3ImTHpFoiHp","advvqa-packet5-b-r8fwAdZVV3ImTHpFoiHp","Imitations of language in art","5","0.6666666666666666","50","0.3333"
"packet6","advvqa-b-tDd5rVIqTXVxBJLadeWp","advvqa-packet6-b-tDd5rVIqTXVxBJLadeWp","Political Cartoons","5","0.6666666666666666","51","0.3333"
"packet6","advvqa-b-lakRBjQNxYPIm34I5v5P","advvqa-packet6-b-lakRBjQNxYPIm34I5v5P","20,000 Leagues Under the Sea","5","0.6666666666666666","52","0.3333"
"packet1","advvqa-b-1yNiVz7Urt147ll9mJRl","advvqa-packet1-b-1yNiVz7Urt147ll9mJRl","Two Letter Capitals","5","0.7333333333333333","53","0.2667"
"packet1","advvqa-b-uxtYBnMflHjdtukTCogD","advvqa-packet1-b-uxtYBnMflHjdtukTCogD","Zip Codes","5","0.7333333333333333","54","0.2667"
"packet2","advvqa-b-N4ReI7qsJK7zvmJDICG3","advvqa-packet2-b-N4ReI7qsJK7zvmJDICG3","Art 3","5","0.7333333333333333","55","0.2667"
"packet2","advvqa-b-phDW0Nb5YWdZDLUID6Uc","advvqa-packet2-b-phDW0Nb5YWdZDLUID6Uc","Art 2","5","0.7333333333333333","56","0.2667"
"packet3","advvqa-b-6eiGnV8rUnGVmskCiQNE","advvqa-packet3-b-6eiGnV8rUnGVmskCiQNE","Scooby Doo Cameos","5","0.7333333333333333","57","0.2667"
"packet5","advvqa-b-j4oumPuYfV4ajA23e1Iz","advvqa-packet5-b-j4oumPuYfV4ajA23e1Iz","Organic reactions","5","0.7333333333333333","58","0.2667"
"packet6","advvqa-b-QoQBrjxPW5Rvb2L6fFQB","advvqa-packet6-b-QoQBrjxPW5Rvb2L6fFQB","Operas","5","0.7333333333333333","59","0.2667"
"packet1","advvqa-b-lxSUo6ZNbRaa4LqQL4lh","advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh","College Athletics Conferences","5","0.8","60","0.2"
"packet2","advvqa-b-9VjQ9lBNO6rmQJmE7ftC","advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC","Art","5","0.8","61","0.2"
"packet2","advvqa-b-ITg3iLtqet63qneCW3ZB","advvqa-packet2-b-ITg3iLtqet63qneCW3ZB","Coffee","5","0.8","62","0.2"
"packet4","advvqa-b-uSO62CnzwnuvORxgPL3I","advvqa-packet4-b-uSO62CnzwnuvORxgPL3I","Instruments","5","0.8","63","0.2"
"packet5","advvqa-b-thxXKq7PBLY8EShfF1Gq","advvqa-packet5-b-thxXKq7PBLY8EShfF1Gq","Scripts","5","0.8","64","0.2"
"packet1","advvqa-b-vkojuf092xAWYMRJcyHk","advvqa-packet1-b-vkojuf092xAWYMRJcyHk","City Parks","5","0.8666666666666666","65","0.1333"
"packet2","advvqa-b-fSvWgAZNctiri89Hu7YT","advvqa-packet2-b-fSvWgAZNctiri89Hu7YT","Lit 3","5","0.8666666666666666","66","0.1333"
"packet3","advvqa-b-r5rihudcKdLdScE2rzk9","advvqa-packet3-b-r5rihudcKdLdScE2rzk9","Endless References","5","0.8666666666666666","67","0.1333"
"packet3","advvqa-b-cXVzhjVfw0rno7WTzhuL","advvqa-packet3-b-cXVzhjVfw0rno7WTzhuL","Make! Some! References!","5","0.8666666666666666","68","0.1333"
"packet3","advvqa-b-d9Cb9JlBYfXpVF42szPr","advvqa-packet3-b-d9Cb9JlBYfXpVF42szPr","World of Reference","5","0.8666666666666666","69","0.1333"
"packet4","advvqa-b-LmjDJkvMoEaXm5ByTPZj","advvqa-packet4-b-LmjDJkvMoEaXm5ByTPZj","museums","5","0.8666666666666666","70","0.1333"
"packet4","advvqa-b-pcAndeCbBOtM2yraTYNF","advvqa-packet4-b-pcAndeCbBOtM2yraTYNF","Blueprints","5","0.8666666666666666","71","0.1333"
"packet5","advvqa-b-kyljRmn9h0TShMOnPt0T","advvqa-packet5-b-kyljRmn9h0TShMOnPt0T","Missing Structures in Photos","5","0.8666666666666666","72","0.1333"
"packet6","advvqa-b-QhxKV9V9gkaGoY3XajGy","advvqa-packet6-b-QhxKV9V9gkaGoY3XajGy","Leaders","5","0.8666666666666666","73","0.1333"
"packet2","advvqa-b-MAB7UJUemEjHoda8aW3o","advvqa-packet2-b-MAB7UJUemEjHoda8aW3o","Map 2","5","0.9333333333333333","74","0.0667"
"packet2","advvqa-b-tyKtCAGg2dI9ZyYhZrcn","advvqa-packet2-b-tyKtCAGg2dI9ZyYhZrcn","Chess","5","0.9333333333333333","75","0.0667"
"packet2","advvqa-b-E5t10mzhOkAY7T9MNEYL","advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL","Greece","5","0.9333333333333333","76","0.0667"
"packet2","advvqa-b-MsnPvfQ1GANWnPJKPBkf","advvqa-packet2-b-MsnPvfQ1GANWnPJKPBkf","Am Hist","5","0.9333333333333333","77","0.0667"
"packet3","advvqa-b-ZKCgP29bWtkoBpAtB2RL","advvqa-packet3-b-ZKCgP29bWtkoBpAtB2RL","Fast Food Offerings","5","0.9333333333333333","78","0.0667"
"packet4","advvqa-b-2BG4UBOVzSW0gRjA32mS","advvqa-packet4-b-2BG4UBOVzSW0gRjA32mS","operatic characters","5","0.9333333333333333","79","0.0667"
"packet4","advvqa-b-KmqloGoz75kLD8EJFXKm","advvqa-packet4-b-KmqloGoz75kLD8EJFXKm","Parliaments","5","0.9333333333333333","80","0.0667"
"packet4","advvqa-b-UuoephrMMiqiFSr4Ycvn","advvqa-packet4-b-UuoephrMMiqiFSr4Ycvn","Voice types","5","0.9333333333333333","81","0.0667"
"packet5","advvqa-b-1WV1FvfKVTT1oRQIprFy","advvqa-packet5-b-1WV1FvfKVTT1oRQIprFy","English vowel phonemes","5","0.9333333333333333","82","0.0667"
"packet6","advvqa-b-s6w3jBy4L5XdERgBD3Q5","advvqa-packet6-b-s6w3jBy4L5XdERgBD3Q5","Chabon Comics","5","0.9333333333333333","83","0.0667"
"packet6","advvqa-b-1j4d3lJUXVn2rNeT3Xrd","advvqa-packet6-b-1j4d3lJUXVn2rNeT3Xrd","Inauguration","5","0.9333333333333333","84","0.0667"
"packet6","advvqa-b-9X9vNhMfNIXdhqQkaCiH","advvqa-packet6-b-9X9vNhMfNIXdhqQkaCiH","MacGuffin","5","0.9333333333333333","85","0.0667"
"packet6","advvqa-b-Ds73TVNCf40b540Eb8jf","advvqa-packet6-b-Ds73TVNCf40b540Eb8jf","Tess of the D'Urbervilles","5","0.9333333333333333","86","0.0667"
"packet1","advvqa-b-L70hk4QrJWj64qPc4c56","advvqa-packet1-b-L70hk4QrJWj64qPc4c56","Blank Canvas 7","5","1.0","87","0.0"
"packet1","advvqa-b-0SeXVHLwDmbtOYEld4kE","advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE","Video Game Maps","5","1.0","88","0.0"
"packet1","advvqa-b-IZATmmP6lpKFKDkc9MEB","advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB","Pulitzer Prize Books","5","1.0","89","0.0"
"packet1","advvqa-b-Cpw2itPWaf5wzgqdBbuo","advvqa-packet1-b-Cpw2itPWaf5wzgqdBbuo","Blank Canvas 5","5","1.0","90","0.0"
"packet1","advvqa-b-rBVTER0aClahEXpwAMQm","advvqa-packet1-b-rBVTER0aClahEXpwAMQm","Blank Canvas 3","5","1.0","91","0.0"
"packet1","advvqa-b-Qdb1qVk8sQdta9OwFiiN","advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN","Biggest in Triangle","5","1.0","92","0.0"
"packet1","advvqa-b-roeIVsFOmO5aMN36AV6Q","advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q","Blank Canvas 1","5","1.0","93","0.0"
"packet2","advvqa-b-TUBSaSaCWhsEkCcYg8od","advvqa-packet2-b-TUBSaSaCWhsEkCcYg8od","Lit 2","5","1.0","94","0.0"
"packet2","advvqa-b-pOAjFMEpaeJRwOm4iYiA","advvqa-packet2-b-pOAjFMEpaeJRwOm4iYiA","Chem","5","1.0","95","0.0"
"packet2","advvqa-b-uMQ0IEOXrY2U4EoBpm1M","advvqa-packet2-b-uMQ0IEOXrY2U4EoBpm1M","China","5","1.0","96","0.0"
"packet2","advvqa-b-Hk3eje8dauAH8GChRZ0r","advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r","West","5","1.0","97","0.0"
"packet2","advvqa-b-MvloRivBZY8ZBMJpTOKh","advvqa-packet2-b-MvloRivBZY8ZBMJpTOKh","WWII","5","1.0","98","0.0"
"packet3","advvqa-b-yz1HsdJ9KiZEhgKzaKhU","advvqa-packet3-b-yz1HsdJ9KiZEhgKzaKhU","Transforming into Animals Films","5","1.0","99","0.0"
"packet3","advvqa-b-ONKG87Klz56p26affrdR","advvqa-packet3-b-ONKG87Klz56p26affrdR","NHL Logos in MS Paint","5","1.0","100","0.0"
"packet3","advvqa-b-kzerchXe5W8OlwQ0fIt9","advvqa-packet3-b-kzerchXe5W8OlwQ0fIt9","Video Game Adaptations of Movies","5","1.0","101","0.0"
"packet3","advvqa-b-loJyCQy0OKi0ovkJxpV6","advvqa-packet3-b-loJyCQy0OKi0ovkJxpV6","ReferenceTrot","5","1.0","102","0.0"
"packet3","advvqa-b-bzhflpiTuOX2D1LUuCc4","advvqa-packet3-b-bzhflpiTuOX2D1LUuCc4","Reference Another Day","5","1.0","103","0.0"
"packet3","advvqa-b-YBQwaXjt8DnhJloIRLAz","advvqa-packet3-b-YBQwaXjt8DnhJloIRLAz","Roll for Reference Check","5","1.0","104","0.0"
"packet4","advvqa-b-eHzzmH3cGhitonhUqV84","advvqa-packet4-b-eHzzmH3cGhitonhUqV84","ballets","5","1.0","105","0.0"
"packet4","advvqa-b-ENzwKPPns9EUzeByrVyv","advvqa-packet4-b-ENzwKPPns9EUzeByrVyv","Stadiums","5","1.0","106","0.0"
"packet5","advvqa-b-TcIMYwrsBMrW1baIBpST","advvqa-packet5-b-TcIMYwrsBMrW1baIBpST","Adversarialness in machine learning","5","1.0","107","0.0"
"packet5","advvqa-b-A0sybq8aS0vV0YnE68wa","advvqa-packet5-b-A0sybq8aS0vV0YnE68wa","Quantum logic gates","5","1.0","108","0.0"
"packet5","advvqa-b-eV1v2nnfpz5j56lzGjD3","advvqa-packet5-b-eV1v2nnfpz5j56lzGjD3","Probability distributions","5","1.0","109","0.0"
"packet5","advvqa-b-liLieLemlcZEa0EpPe0Y","advvqa-packet5-b-liLieLemlcZEa0EpPe0Y","Mathematical distances","5","1.0","110","0.0"
"packet5","advvqa-b-armFu6DoWFAeft1LamAT","advvqa-packet5-b-armFu6DoWFAeft1LamAT","B&W Flags","5","1.0","111","0.0"
"packet5","advvqa-b-l77X1iqdtk6c2FVPelD3","advvqa-packet5-b-l77X1iqdtk6c2FVPelD3","Identify the satirical target in a 19th-century political cartoon","5","1.0","112","0.0"
"packet6","advvqa-b-baTETx2Qtc2mKc3ksFQM","advvqa-packet6-b-baTETx2Qtc2mKc3ksFQM","Identify the historical boundary/treaty","5","1.0","113","0.0"
"packet6","advvqa-b-JKzbXbLotS8SBmmMOJUg","advvqa-packet6-b-JKzbXbLotS8SBmmMOJUg","Google Editing Suite Menus","5","1.0","114","0.0"
"packet6","advvqa-b-9WzmiSe6YUFAFljrubkF","advvqa-packet6-b-9WzmiSe6YUFAFljrubkF","Animals","5","1.0","115","0.0"
"packet6","advvqa-b-gOnh0BaPNHev67IEDmFl","advvqa-packet6-b-gOnh0BaPNHev67IEDmFl","physics and music","5","1.0","116","0.0"
"packet6","advvqa-b-P6C5mz8x6Z4d7hhm29Z3","advvqa-packet6-b-P6C5mz8x6Z4d7hhm29Z3","Colleges and Famous Buildings","5","1.0","117","0.0"
"packet6","advvqa-b-5TP90iSsw4rkTsMF4oGI","advvqa-packet6-b-5TP90iSsw4rkTsMF4oGI","Korean Architecture","5","1.0","118","0.0"
"packet6","advvqa-b-KbD9Q2kqmTfqG4N0mMkB","advvqa-packet6-b-KbD9Q2kqmTfqG4N0mMkB","Biblical Figures","5","1.0","119","0.0"
"packet6","advvqa-b-qdCUlmDzT4TMxNjhewdp","advvqa-packet6-b-qdCUlmDzT4TMxNjhewdp","Linux kernel","5","1.0","120","0.0"
